Piso,Indice,Muro,ejes,Fecha,Radicado de recibo de compra
1,47,M-27,"7; P",2026-02-15,RC-2026-816381
1,48,M-28,"10; 11; 12; 13; 14; 9; N",2026-02-15,RC-2026-125602
1,49,M-23,"9; O",2026-02-15,RC-2026-144435
1,50,M-24,"9; Q",2026-02-15,RC-2026-466314
1,51,M-21,"11; O",2026-02-15,RC-2026-272386
1,52,M-22,"11; Q",2026-02-15,RC-2026-417144
1,53,M-29,"12; O; P",2026-02-15,RC-2026-845482
1,54,M-30,"12; I; K; M; NULL",2026-02-15,RC-2026-380125
1,55,M-31,"13; 14; M",2026-02-15,RC-2026-444281
1,56,M-21,"13; K",2026-02-15,RC-2026-103963
1,57,M-22,"13; H",2026-02-15,RC-2026-464717
1,58,M-24,"14; H",2026-02-15,RC-2026-741243
1,59,M-23,"14; K",2026-02-15,RC-2026-941554
1,60,M-21,"13; O",2026-02-15,RC-2026-290196
1,61,M-22,"13; Q",2026-02-15,RC-2026-622075
1,62,M-23,"14; O",2026-02-15,RC-2026-446816
1,63,M-24,"14; Q",2026-02-15,RC-2026-971136
1,64,M-40,"15; O; P",2026-02-15,RC-2026-397514
1,65,M-39,"15; N",2026-02-15,RC-2026-559857
1,66,M-25,"15; M",2026-02-15,RC-2026-998571
1,67,M-26,"15; K",2026-02-15,RC-2026-442770
1,68,M-27,"15; I",2026-02-15,RC-2026-291234
1,69,M-24,"16; H",2026-02-15,RC-2026-607716
1,70,M-23,"16; K",2026-02-15,RC-2026-125103
1,71,M-22,"17; H",2026-02-15,RC-2026-869009
1,72,M-21,"17; K",2026-02-15,RC-2026-890049
1,73,M-37,"16; 17; 18; 19; 20; M",2026-02-15,RC-2026-334047
1,74,M-37,"16; 17; 18; 19; 20; N",2026-02-15,RC-2026-717866
1,75,M-23,"16; O",2026-02-15,RC-2026-573065
1,76,M-24,"16; Q",2026-02-15,RC-2026-112446
1,77,M-21,"17; O",2026-02-15,RC-2026-752499
1,78,M-22,"17; Q",2026-02-15,RC-2026-588266
1,79,M-38,"18; O",2026-02-15,RC-2026-530982
1,80,M-38,"18; K",2026-02-15,RC-2026-672779
1,81,M-27,"18; I",2026-02-15,RC-2026-741515
1,82,M-22,"19; H",2026-02-15,RC-2026-898783
1,83,M-27,"18; P",2026-02-15,RC-2026-159337
1,84,M-21,"19; K",2026-02-15,RC-2026-270288
1,85,M-21,"19; O",2026-02-15,RC-2026-179719
1,86,M-22,"19; Q",2026-02-15,RC-2026-574056
1,87,M-23,"20; O",2026-02-15,RC-2026-665294
1,88,M-24,"20; H",2026-02-15,RC-2026-194942
1,89,M-23,"20; K",2026-02-15,RC-2026-217879
1,90,M-27,"21; I",2026-02-15,RC-2026-313877
1,91,M-25,"21; M",2026-02-15,RC-2026-659485
1,92,M-26,"21; K",2026-02-15,RC-2026-626733
1,93,M-26,"21; O",2026-02-15,RC-2026-219811
1,94,M-25,"21; N",2026-02-15,RC-2026-604315
1,95,M-27,"21; P",2026-02-15,RC-2026-324563
1,96,M-24,"20; Q",2026-02-15,RC-2026-532761
1,97,M-32,"22; 23; N",2026-02-15,RC-2026-399129
1,98,M-23,"22; O",2026-02-15,RC-2026-929261
1,99,M-21,"23; O",2026-02-15,RC-2026-724082
1,100,M-24,"22; Q",2026-02-15,RC-2026-850368
1,101,M-22,"23; Q",2026-02-15,RC-2026-949885
1,102,M-33,"24; N; O; P",2026-02-15,RC-2026-536618
1,103,M-33A,"24; I; K; M",2026-02-15,RC-2026-544274
1,104,M-32,"22; 23; M",2026-02-15,RC-2026-199442
1,105,M-21,"23; K",2026-02-15,RC-2026-695465
1,106,M-23,"22; K",2026-02-15,RC-2026-662118
1,107,M-24,"22; H",2026-02-15,RC-2026-956918
1,108,M-22,"23; H",2026-02-15,RC-2026-985030
1,109,M-34A,"25; I; K; M",2026-02-15,RC-2026-379007
1,110,M-34,"25; N; O; P",2026-02-15,RC-2026-964604
1,111,M-24,"26; Q",2026-02-15,RC-2026-540779
1,112,M-22,"27; Q",2026-02-15,RC-2026-197954
1,113,M-21,"27; O",2026-02-15,RC-2026-224707
1,114,M-23,"26; O",2026-02-15,RC-2026-435364
1,115,M-35,"26; 27; N",2026-02-15,RC-2026-775635
1,116,M-36,"28; N; O; P",2026-02-15,RC-2026-927293
1,117,M-36,"28; I; K; M",2026-02-15,RC-2026-557793
1,118,M-21,"27; K",2026-02-15,RC-2026-217111
1,119,M-23,"26; K",2026-02-15,RC-2026-551131
1,120,M-24,"26; H",2026-02-15,RC-2026-878975
1,121,M-22,"27; H",2026-02-15,RC-2026-750662
1,122,35,"26; 27; M",2026-02-15,RC-2026-889032
2,0,M-09,"6; D",2026-03-15,RC-2026-673881
2,1,M-01,"7; 8; 9; A",2026-03-15,RC-2026-545776
2,2,M-04,"8; B",2026-03-15,RC-2026-746932
2,3,M-02,"6; A; B; C",2026-03-15,RC-2026-551684
2,4,M-01,"2; 3; 4; A",2026-03-15,RC-2026-296182
2,5,M-02,"5; A; B; C",2026-03-15,RC-2026-192954
2,6,M-04,"3; B",2026-03-15,RC-2026-405273
2,7,M-03,"1; B",2026-03-15,RC-2026-108217
2,8,M-05,"1; 2; C",2026-03-15,RC-2026-350037
2,9,M-07,"2; D",2026-03-15,RC-2026-172291
2,10,M-06,"3; C",2026-03-15,RC-2026-621397
2,11,M-08,"3; 4; D",2026-03-15,RC-2026-525842
2,12,M-09,"5; D",2026-03-15,RC-2026-997298
2,13,M-06,"3; E",2026-03-15,RC-2026-440063
2,14,M-05,"1; 2; E",2026-03-15,RC-2026-657399
2,15,M-03,"1; F",2026-03-15,RC-2026-979961
2,16,M-10,"2; G",2026-03-15,RC-2026-711470
2,17,M-04,"3; F",2026-03-15,RC-2026-253732
2,18,M-17,"5; E; F; G; H; I; J; L",2026-03-15,RC-2026-304035
2,19,M-18,"3; 4; G",2026-03-15,RC-2026-190450
2,20,M-03,"1; I; J",2026-03-15,RC-2026-135943
2,21,M-04,"3; I; J",2026-03-15,RC-2026-384167
2,22,M-06,"3; L",2026-03-15,RC-2026-152596
2,23,M-05,"1; 2; L",2026-03-15,RC-2026-234208
2,24,M-19,"2; N; O; P",2026-03-15,RC-2026-446027
2,25,M-20,"3; 4; 5; N",2026-03-15,RC-2026-456924
2,26,M-06,"8; C",2026-03-15,RC-2026-597473
2,27,M-03,"10; B",2026-03-15,RC-2026-971420
2,28,M-05,"10; C",2026-03-15,RC-2026-893909
2,29,M-07,"9; D",2026-03-15,RC-2026-470295
2,30,M-08,"7; 8; D",2026-03-15,RC-2026-831042
2,31,M-06,"8; E",2026-03-15,RC-2026-715687
2,32,M-11,"6; E; F",2026-03-15,RC-2026-597247
2,33,M-04,"8; F",2026-03-15,RC-2026-555116
2,34,M-05,"10; E",2026-03-15,RC-2026-562925
2,35,M-03,"10; F",2026-03-15,RC-2026-964584
2,36,M-12,"6; 7; 8; 9; G",2026-03-15,RC-2026-539772
2,37,M-13,"I; J; L",2026-03-15,RC-2026-412276
2,38,M-14,"7; 8; 9",2026-03-15,RC-2026-932890
2,39,M-15,"L",2026-03-15,RC-2026-190681
2,40,M-16,"I; J; L",2026-03-15,RC-2026-679452
2,41,M-21,"O",2026-03-15,RC-2026-337544
2,42,M-22,"Q",2026-03-15,RC-2026-223456
2,43,M-23,"4; 5; O",2026-03-15,RC-2026-421014
2,44,M-24,"4; Q",2026-03-15,RC-2026-639296
2,45,M-25,"6; 7; 8; N",2026-03-15,RC-2026-445326
2,46,M-26,"7; O",2026-03-15,RC-2026-855243
2,47,M-27,"7; P",2026-03-15,RC-2026-234034
2,48,M-28,"10; 11; 12; 13; 14; 9; N",2026-03-15,RC-2026-840184
2,49,M-23,"9; O",2026-03-15,RC-2026-413008
2,50,M-24,"9; Q",2026-03-15,RC-2026-850614
2,51,M-21,"11; O",2026-03-15,RC-2026-907052
2,52,M-22,"11; Q",2026-03-15,RC-2026-948104
2,53,M-29,"12; O; P",2026-03-15,RC-2026-161692
2,54,M-30,"12; I; K; M; NULL",2026-03-15,RC-2026-168007
2,55,M-31,"13; 14; M",2026-03-15,RC-2026-709114
2,56,M-21,"13; K",2026-03-15,RC-2026-848186
2,57,M-22,"13; H",2026-03-15,RC-2026-141225
2,58,M-24,"14; H",2026-03-15,RC-2026-193072
2,59,M-23,"14; K",2026-03-15,RC-2026-598574
2,60,M-21,"13; O",2026-03-15,RC-2026-645353
2,61,M-22,"13; Q",2026-03-15,RC-2026-909106
2,62,M-23,"14; O",2026-03-15,RC-2026-835719
2,63,M-24,"14; Q",2026-03-15,RC-2026-300153
2,64,M-40,"15; O; P",2026-03-15,RC-2026-272881
2,65,M-39,"15; N",2026-03-15,RC-2026-438005
2,66,M-25,"15; M",2026-03-15,RC-2026-426612
2,67,M-26,"15; K",2026-03-15,RC-2026-848622
2,68,M-27,"15; I",2026-03-15,RC-2026-759381
2,69,M-24,"16; H",2026-03-15,RC-2026-576189
2,70,M-23,"16; K",2026-03-15,RC-2026-504591
2,71,M-22,"17; H",2026-03-15,RC-2026-215152
2,72,M-21,"17; K",2026-03-15,RC-2026-274960
2,73,M-37,"16; 17; 18; 19; 20; M",2026-03-15,RC-2026-751273
2,74,M-37,"16; 17; 18; 19; 20; N",2026-03-15,RC-2026-217133
2,75,M-23,"16; O",2026-03-15,RC-2026-581262
2,76,M-24,"16; Q",2026-03-15,RC-2026-838897
2,77,M-21,"17; O",2026-03-15,RC-2026-222432
2,78,M-22,"17; Q",2026-03-15,RC-2026-702404
2,79,M-38,"18; O",2026-03-15,RC-2026-116006
2,80,M-38,"18; K",2026-03-15,RC-2026-277569
2,81,M-27,"18; I",2026-03-15,RC-2026-443276
2,82,M-22,"19; H",2026-03-15,RC-2026-259625
2,83,M-27,"18; P",2026-03-15,RC-2026-678655
2,84,M-21,"19; K",2026-03-15,RC-2026-118658
2,85,M-21,"19; O",2026-03-15,RC-2026-832153
2,86,M-22,"19; Q",2026-03-15,RC-2026-918958
2,87,M-23,"20; O",2026-03-15,RC-2026-308902
2,88,M-24,"20; H",2026-03-15,RC-2026-103900
2,89,M-23,"20; K",2026-03-15,RC-2026-954538
2,90,M-27,"21; I",2026-03-15,RC-2026-411075
2,91,M-25,"21; M",2026-03-15,RC-2026-528206
2,92,M-26,"21; K",2026-03-15,RC-2026-323373
2,93,M-26,"21; O",2026-03-15,RC-2026-145994
2,94,M-25,"21; N",2026-03-15,RC-2026-498917
2,95,M-27,"21; P",2026-03-15,RC-2026-822981
2,96,M-24,"20; Q",2026-03-15,RC-2026-703285
2,97,M-32,"22; 23; N",2026-03-15,RC-2026-357235
2,98,M-23,"22; O",2026-03-15,RC-2026-719774
2,99,M-21,"23; O",2026-03-15,RC-2026-151224
2,100,M-24,"22; Q",2026-03-15,RC-2026-397292
2,101,M-22,"23; Q",2026-03-15,RC-2026-141563
2,102,M-33,"24; N; O; P",2026-03-15,RC-2026-707666
2,103,M-33A,"24; I; K; M",2026-03-15,RC-2026-465377
2,104,M-32,"22; 23; M",2026-03-15,RC-2026-234259
2,105,M-21,"23; K",2026-03-15,RC-2026-789200
2,106,M-23,"22; K",2026-03-15,RC-2026-249695
2,107,M-24,"22; H",2026-03-15,RC-2026-848681
2,108,M-22,"23; H",2026-03-15,RC-2026-895235
2,109,M-34A,"25; I; K; M",2026-03-15,RC-2026-110186
2,110,M-34,"25; N; O; P",2026-03-15,RC-2026-358896
2,111,M-24,"26; Q",2026-03-15,RC-2026-732121
2,112,M-22,"27; Q",2026-03-15,RC-2026-582529
2,113,M-21,"27; O",2026-03-15,RC-2026-668329
2,114,M-23,"26; O",2026-03-15,RC-2026-256695
2,115,M-35,"26; 27; N",2026-03-15,RC-2026-812942
2,116,M-36,"28; N; O; P",2026-03-15,RC-2026-858722
2,117,M-36,"28; I; K; M",2026-03-15,RC-2026-547231
2,118,M-21,"27; K",2026-03-15,RC-2026-986907
2,119,M-23,"26; K",2026-03-15,RC-2026-441042
2,120,M-24,"26; H",2026-03-15,RC-2026-662195
2,121,M-22,"27; H",2026-03-15,RC-2026-823459
2,122,35,"26; 27; M",2026-03-15,RC-2026-577442
3,0,M-09,"6; D",2026-04-15,RC-2026-369608
3,1,M-01,"7; 8; 9; A",2026-04-15,RC-2026-949533
3,2,M-04,"8; B",2026-04-15,RC-2026-902161
3,3,M-02,"6; A; B; C",2026-04-15,RC-2026-430146
3,4,M-01,"2; 3; 4; A",2026-04-15,RC-2026-422765
3,5,M-02,"5; A; B; C",2026-04-15,RC-2026-539945
3,6,M-04,"3; B",2026-04-15,RC-2026-843064
3,7,M-03,"1; B",2026-04-15,RC-2026-918692
3,8,M-05,"1; 2; C",2026-04-15,RC-2026-153723
3,9,M-07,"2; D",2026-04-15,RC-2026-177051
3,10,M-06,"3; C",2026-04-15,RC-2026-775378
3,11,M-08,"3; 4; D",2026-04-15,RC-2026-877951
3,12,M-09,"5; D",2026-04-15,RC-2026-300403
3,13,M-06,"3; E",2026-04-15,RC-2026-781093
3,14,M-05,"1; 2; E",2026-04-15,RC-2026-171631
3,15,M-03,"1; F",2026-04-15,RC-2026-114558
3,16,M-10,"2; G",2026-04-15,RC-2026-130647
3,17,M-04,"3; F",2026-04-15,RC-2026-989815
3,18,M-17,"5; E; F; G; H; I; J; L",2026-04-15,RC-2026-407632
3,19,M-18,"3; 4; G",2026-04-15,RC-2026-210426
3,20,M-03,"1; I; J",2026-04-15,RC-2026-331924
3,21,M-04,"3; I; J",2026-04-15,RC-2026-555240
3,22,M-06,"3; L",2026-04-15,RC-2026-697866
3,23,M-05,"1; 2; L",2026-04-15,RC-2026-681234
3,24,M-19,"2; N; O; P",2026-04-15,RC-2026-533154
3,25,M-20,"3; 4; 5; N",2026-04-15,RC-2026-721659
3,26,M-06,"8; C",2026-04-15,RC-2026-538869
3,27,M-03,"10; B",2026-04-15,RC-2026-661851
3,28,M-05,"10; C",2026-04-15,RC-2026-814954
3,29,M-07,"9; D",2026-04-15,RC-2026-617115
3,30,M-08,"7; 8; D",2026-04-15,RC-2026-723924
3,31,M-06,"8; E",2026-04-15,RC-2026-332377
3,32,M-11,"6; E; F",2026-04-15,RC-2026-710272
3,33,M-04,"8; F",2026-04-15,RC-2026-751577
3,34,M-05,"10; E",2026-04-15,RC-2026-250471
3,35,M-03,"10; F",2026-04-15,RC-2026-500209
3,36,M-12,"6; 7; 8; 9; G",2026-04-15,RC-2026-670830
3,37,M-13,"I; J; L",2026-04-15,RC-2026-281629
3,38,M-14,"7; 8; 9",2026-04-15,RC-2026-414063
3,39,M-15,"L",2026-04-15,RC-2026-384711
3,40,M-16,"I; J; L",2026-04-15,RC-2026-743707
3,41,M-21,"O",2026-04-15,RC-2026-384517
3,42,M-22,"Q",2026-04-15,RC-2026-442854
3,43,M-23,"4; 5; O",2026-04-15,RC-2026-362977
3,44,M-24,"4; Q",2026-04-15,RC-2026-282286
3,45,M-25,"6; 7; 8; N",2026-04-15,RC-2026-878719
3,46,M-26,"7; O",2026-04-15,RC-2026-182987
3,47,M-27,"7; P",2026-04-15,RC-2026-529354
3,48,M-28,"10; 11; 12; 13; 14; 9; N",2026-04-15,RC-2026-531055
3,49,M-23,"9; O",2026-04-15,RC-2026-598123
3,50,M-24,"9; Q",2026-04-15,RC-2026-396818
3,51,M-21,"11; O",2026-04-15,RC-2026-725351
3,52,M-22,"11; Q",2026-04-15,RC-2026-949925
3,53,M-29,"12; O; P",2026-04-15,RC-2026-433237
3,54,M-30,"12; I; K; M; NULL",2026-04-15,RC-2026-747108
3,55,M-31,"13; 14; M",2026-04-15,RC-2026-561550
3,56,M-21,"13; K",2026-04-15,RC-2026-451559
3,57,M-22,"13; H",2026-04-15,RC-2026-802201
3,58,M-24,"14; H",2026-04-15,RC-2026-249268
3,59,M-23,"14; K",2026-04-15,RC-2026-856461
3,60,M-21,"13; O",2026-04-15,RC-2026-198819
3,61,M-22,"13; Q",2026-04-15,RC-2026-307512
3,62,M-23,"14; O",2026-04-15,RC-2026-156797
3,63,M-24,"14; Q",2026-04-15,RC-2026-564766
3,64,M-40,"15; O; P",2026-04-15,RC-2026-369012
3,65,M-39,"15; N",2026-04-15,RC-2026-128664
3,66,M-25,"15; M",2026-04-15,RC-2026-172271
3,67,M-26,"15; K",2026-04-15,RC-2026-487051
3,68,M-27,"15; I",2026-04-15,RC-2026-453694
3,69,M-24,"16; H",2026-04-15,RC-2026-408982
3,70,M-23,"16; K",2026-04-15,RC-2026-283359
3,71,M-22,"17; H",2026-04-15,RC-2026-880303
3,72,M-21,"17; K",2026-04-15,RC-2026-344717
3,73,M-37,"16; 17; 18; 19; 20; M",2026-04-15,RC-2026-185548
3,74,M-37,"16; 17; 18; 19; 20; N",2026-04-15,RC-2026-388127
3,75,M-23,"16; O",2026-04-15,RC-2026-732810
3,76,M-24,"16; Q",2026-04-15,RC-2026-486165
3,77,M-21,"17; O",2026-04-15,RC-2026-318664
3,78,M-22,"17; Q",2026-04-15,RC-2026-523623
3,79,M-38,"18; O",2026-04-15,RC-2026-757932
3,80,M-38,"18; K",2026-04-15,RC-2026-808774
3,81,M-27,"18; I",2026-04-15,RC-2026-740168
3,82,M-22,"19; H",2026-04-15,RC-2026-382835
3,83,M-27,"18; P",2026-04-15,RC-2026-433116
3,84,M-21,"19; K",2026-04-15,RC-2026-208805
3,85,M-21,"19; O",2026-04-15,RC-2026-999261
3,86,M-22,"19; Q",2026-04-15,RC-2026-699213
3,87,M-23,"20; O",2026-04-15,RC-2026-185533
3,88,M-24,"20; H",2026-04-15,RC-2026-809152
3,89,M-23,"20; K",2026-04-15,RC-2026-127405
3,90,M-27,"21; I",2026-04-15,RC-2026-807211
3,91,M-25,"21; M",2026-04-15,RC-2026-811127
3,92,M-26,"21; K",2026-04-15,RC-2026-783473
3,93,M-26,"21; O",2026-04-15,RC-2026-668067
3,94,M-25,"21; N",2026-04-15,RC-2026-255193
3,95,M-27,"21; P",2026-04-15,RC-2026-616191
3,96,M-24,"20; Q",2026-04-15,RC-2026-280984
3,97,M-32,"22; 23; N",2026-04-15,RC-2026-885158
3,98,M-23,"22; O",2026-04-15,RC-2026-775546
3,99,M-21,"23; O",2026-04-15,RC-2026-255126
3,100,M-24,"22; Q",2026-04-15,RC-2026-992308
3,101,M-22,"23; Q",2026-04-15,RC-2026-920128
3,102,M-33,"24; N; O; P",2026-04-15,RC-2026-788695
3,103,M-33A,"24; I; K; M",2026-04-15,RC-2026-797499
3,104,M-32,"22; 23; M",2026-04-15,RC-2026-503791
3,105,M-21,"23; K",2026-04-15,RC-2026-623093
3,106,M-23,"22; K",2026-04-15,RC-2026-106849
3,107,M-24,"22; H",2026-04-15,RC-2026-877971
3,108,M-22,"23; H",2026-04-15,RC-2026-473548
3,109,M-34A,"25; I; K; M",2026-04-15,RC-2026-403468
3,110,M-34,"25; N; O; P",2026-04-15,RC-2026-777828
3,111,M-24,"26; Q",2026-04-15,RC-2026-840623
3,112,M-22,"27; Q",2026-04-15,RC-2026-104239
3,113,M-21,"27; O",2026-04-15,RC-2026-126056
3,114,M-23,"26; O",2026-04-15,RC-2026-595565
3,115,M-35,"26; 27; N",2026-04-15,RC-2026-514580
3,116,M-36,"28; N; O; P",2026-04-15,RC-2026-206673
3,117,M-36,"28; I; K; M",2026-04-15,RC-2026-641933
3,118,M-21,"27; K",2026-04-15,RC-2026-980702
3,119,M-23,"26; K",2026-04-15,RC-2026-468506
3,120,M-24,"26; H",2026-04-15,RC-2026-582233
3,121,M-22,"27; H",2026-04-15,RC-2026-585155
3,122,35,"26; 27; M",2026-04-15,RC-2026-692029
4,0,M-09,"6; D",2026-05-15,RC-2026-983040
4,1,M-01,"7; 8; 9; A",2026-05-15,RC-2026-684513
4,2,M-04,"8; B",2026-05-15,RC-2026-405073
4,3,M-02,"6; A; B; C",2026-05-15,RC-2026-810501
4,4,M-01,"2; 3; 4; A",2026-05-15,RC-2026-833367
4,5,M-02,"5; A; B; C",2026-05-15,RC-2026-225901
4,6,M-04,"3; B",2026-05-15,RC-2026-482480
4,7,M-03,"1; B",2026-05-15,RC-2026-512819
4,8,M-05,"1; 2; C",2026-05-15,RC-2026-664315
4,9,M-07,"2; D",2026-05-15,RC-2026-546172
4,10,M-06,"3; C",2026-05-15,RC-2026-115035
4,11,M-08,"3; 4; D",2026-05-15,RC-2026-334056
4,12,M-09,"5; D",2026-05-15,RC-2026-808038
4,13,M-06,"3; E",2026-05-15,RC-2026-338015
4,14,M-05,"1; 2; E",2026-05-15,RC-2026-229187
4,15,M-03,"1; F",2026-05-15,RC-2026-327373
4,16,M-10,"2; G",2026-05-15,RC-2026-793880
4,17,M-04,"3; F",2026-05-15,RC-2026-246793
4,18,M-17,"5; E; F; G; H; I; J; L",2026-05-15,RC-2026-498562
4,19,M-18,"3; 4; G",2026-05-15,RC-2026-916259
4,20,M-03,"1; I; J",2026-05-15,RC-2026-206217
4,21,M-04,"3; I; J",2026-05-15,RC-2026-780712
4,22,M-06,"3; L",2026-05-15,RC-2026-735279
4,23,M-05,"1; 2; L",2026-05-15,RC-2026-201110
4,24,M-19,"2; N; O; P",2026-05-15,RC-2026-301537
4,25,M-20,"3; 4; 5; N",2026-05-15,RC-2026-367976
4,26,M-06,"8; C",2026-05-15,RC-2026-824553
4,27,M-03,"10; B",2026-05-15,RC-2026-296752
4,28,M-05,"10; C",2026-05-15,RC-2026-679746
4,29,M-07,"9; D",2026-05-15,RC-2026-251198
4,30,M-08,"7; 8; D",2026-05-15,RC-2026-581756
4,31,M-06,"8; E",2026-05-15,RC-2026-201277
4,32,M-11,"6; E; F",2026-05-15,RC-2026-570665
4,33,M-04,"8; F",2026-05-15,RC-2026-202408
4,34,M-05,"10; E",2026-05-15,RC-2026-230561
4,35,M-03,"10; F",2026-05-15,RC-2026-445797
4,36,M-12,"6; 7; 8; 9; G",2026-05-15,RC-2026-370762
4,37,M-13,"I; J; L",2026-05-15,RC-2026-504743
4,38,M-14,"7; 8; 9",2026-05-15,RC-2026-767354
4,39,M-15,"L",2026-05-15,RC-2026-392890
4,40,M-16,"I; J; L",2026-05-15,RC-2026-909267
4,41,M-21,"O",2026-05-15,RC-2026-308418
4,42,M-22,"Q",2026-05-15,RC-2026-873931
4,43,M-23,"4; 5; O",2026-05-15,RC-2026-122406
4,44,M-24,"4; Q",2026-05-15,RC-2026-132278
4,45,M-25,"6; 7; 8; N",2026-05-15,RC-2026-538264
4,46,M-26,"7; O",2026-05-15,RC-2026-830581
4,47,M-27,"7; P",2026-05-15,RC-2026-996548
4,48,M-28,"10; 11; 12; 13; 14; 9; N",2026-05-15,RC-2026-297852
4,49,M-23,"9; O",2026-05-15,RC-2026-701850
4,50,M-24,"9; Q",2026-05-15,RC-2026-167881
4,51,M-21,"11; O",2026-05-15,RC-2026-216631
4,52,M-22,"11; Q",2026-05-15,RC-2026-720319
4,53,M-29,"12; O; P",2026-05-15,RC-2026-726820
4,54,M-30,"12; I; K; M; NULL",2026-05-15,RC-2026-215375
4,55,M-31,"13; 14; M",2026-05-15,RC-2026-861904
4,56,M-21,"13; K",2026-05-15,RC-2026-192123
4,57,M-22,"13; H",2026-05-15,RC-2026-690395
4,58,M-24,"14; H",2026-05-15,RC-2026-716931
4,59,M-23,"14; K",2026-05-15,RC-2026-726988
4,60,M-21,"13; O",2026-05-15,RC-2026-410541
4,61,M-22,"13; Q",2026-05-15,RC-2026-236919
4,62,M-23,"14; O",2026-05-15,RC-2026-880353
4,63,M-24,"14; Q",2026-05-15,RC-2026-484447
4,64,M-40,"15; O; P",2026-05-15,RC-2026-959963
4,65,M-39,"15; N",2026-05-15,RC-2026-404918
4,66,M-25,"15; M",2026-05-15,RC-2026-120291
4,67,M-26,"15; K",2026-05-15,RC-2026-550899
4,68,M-27,"15; I",2026-05-15,RC-2026-550080
4,69,M-24,"16; H",2026-05-15,RC-2026-519688
4,70,M-23,"16; K",2026-05-15,RC-2026-360476
4,71,M-22,"17; H",2026-05-15,RC-2026-291102
4,72,M-21,"17; K",2026-05-15,RC-2026-548721
4,73,M-37,"16; 17; 18; 19; 20; M",2026-05-15,RC-2026-911841
4,74,M-37,"16; 17; 18; 19; 20; N",2026-05-15,RC-2026-665572
4,75,M-23,"16; O",2026-05-15,RC-2026-891815
4,76,M-24,"16; Q",2026-05-15,RC-2026-170633
4,77,M-21,"17; O",2026-05-15,RC-2026-798758
4,78,M-22,"17; Q",2026-05-15,RC-2026-179659
4,79,M-38,"18; O",2026-05-15,RC-2026-328849
4,80,M-38,"18; K",2026-05-15,RC-2026-196253
4,81,M-27,"18; I",2026-05-15,RC-2026-434011
4,82,M-22,"19; H",2026-05-15,RC-2026-751993
4,83,M-27,"18; P",2026-05-15,RC-2026-356349
4,84,M-21,"19; K",2026-05-15,RC-2026-556416
4,85,M-21,"19; O",2026-05-15,RC-2026-641561
